Session number,Laser power (mW),Fluorescence Intensity (A.U.),FWHMx (um),FWHMz (um)
1,4,4.553125,1.44300800046637,3.94884505539416
1,4,4.663625,1.41920615404094,3.86366519488988
1,4,4.584875,1.41746257238948,3.90271001780911
1,5,7.73366666666667,1.4293878636965,3.89706574548594
1,5,7.64816666666667,1.43824204379755,3.85818967403459
1,5,7.68966666666667,1.42295736706434,3.86051402102609
1,6,11.88825,1.43773568571314,3.86944122995536
1,6,11.694,1.42727059427207,3.96222103544434
1,6,11.75975,1.42746993304678,3.95026193105569
1,7,16.598,1.42353234450921,3.96069263655526
1,7,16.494,1.43778146254989,4.00644825300977
1,7,16.4428,1.43618115432501,3.89086339178814
1,8,22.172,1.41623497057647,3.92530199796897
1,8,22.364,1.44265572887555,3.97387112391657
1,8,22.172,1.45096350613415,4.02731130016325
1,9,28.566,1.43571779518008,3.90469875320749
1,9,28.3086666666667,1.44555487983832,4.04319181686146
1,9,28.222,1.44568417529989,4.03930498712099
1,10,36.209,1.44611071524515,3.94315678838592
1,10,35.955,1.42996999742661,3.99748585645305
1,10,35.441,1.44213153641808,3.91703842396881
2,4,4.49875,1.44476025395146,4.01916003280898
2,4,4.49125,1.4260976762688,3.93498228831062
2,4,4.523375,1.41524931182593,3.84286941859733
2,5,7.53016666666667,1.44263838224097,3.90287010370474
2,5,7.41016666666667,1.4179815313306,3.92046863493591
2,5,7.58033333333333,1.4313291649938,3.83920244632602
2,6,11.561,1.44308460076045,4.02070286289421
2,6,11.6015,1.41817709385693,3.8910200555293
2,6,11.60175,1.40428238315075,3.91859492960269
2,7,16.4368,1.43784142811194,3.89806279915796
2,7,16.7028,1.44956037502994,3.89771705785328
2,7,16.8556,1.44384108112133,3.89044303695743
2,8,22.0455,1.44063785494155,3.96510098087838
2,8,22.3755,1.42282249696536,3.92156448348587
2,8,22.4405,1.4502244840204,3.97076221276244
2,9,28.3966666666667,1.4235207448731,3.82409342135383
2,9,28.8233333333333,1.44683884798963,3.93047339243249
2,9,28.5693333333333,1.42542775157669,3.84831744457303
2,10,35.84,1.4303478117116,3.89963446667035
2,10,35.329,1.4741655694015,3.99342866589519
2,10,36.602,1.41141414435876,3.92621960339765
