Session number,Laser power (mW),Fluorescence Intensity (A.U.),FWHMx (um),FWHMz (um)
1,4,6.2258,1.51126881371791,4.19740675603603
1,4,6.3076,1.5317112217814,4.10270042130679
1,4,6.2328,1.53597421103219,4.15439376502154
1,5,9.60375,1.52448847280971,4.24057326476632
1,5,9.409,1.55014947697306,4.09763521156172
1,5,9.53925,1.53154619220809,4.07656162352186
1,6,13.4088571428571,1.55763249298051,4.17811828401389
1,6,13.448,1.55603786747311,4.19196461165925
1,6,13.3762857142857,1.54813658967306,4.28712495766009
1,7,18.2516,1.54893887419409,4.22340455148694
1,7,18.2048,1.55855623127823,4.14120564920285
1,7,18.1564,1.55356521851776,4.19967553582021
1,8,23.946,1.53286683261487,4.16784297720577
1,8,23.823,1.55229058765006,4.148420648533
1,8,23.6975,1.56183849385402,4.19642849455143
1,9,29.4623529411765,1.54830239185,4.26867059794507
1,9,29.3070588235294,1.56290475179027,4.1437735616647
1,9,29.6111764705882,1.53860771683063,4.22810379421235
1,10,36.2138461538462,1.53021800292453,4.37201839737383
1,10,36.0184615384615,1.55977547449796,4.18810098170704
1,10,35.8230769230769,1.56588413128106,4.27032380980165
2,4,5.762,1.49375610820458,4.18699759257728
2,4,5.7908,1.49077733036397,4.0780242602083
2,4,5.7896,1.49973515919016,4.11773898578277
2,5,9.0565,1.50769121863907,4.32968000909242
2,5,9.023,1.50730002386969,4.20779321813037
2,5,8.92975,1.53240147307367,4.10436236508986
2,6,12.7631428571429,1.53174815807823,4.23194083662401
2,6,12.6885714285714,1.52662620057116,4.28391800705423
2,6,12.5425714285714,1.54220203600093,4.21425976056649
2,7,17.1936,1.51259819466354,4.27995588113739
2,7,17.1936,1.52223626299919,4.21924350262332
2,7,17.4508,1.51665209022383,4.20054910874191
2,8,22.4525,1.51379109768036,4.24387250751072
2,8,22.5105,1.52043011955434,4.17824557480099
2,8,22.575,1.5120969497824,4.22496336343472
2,9,27.8364705882353,1.53582661000733,4.24420904052092
2,9,28.5311764705882,1.51940867962383,4.26089137782186
2,9,28.1588235294118,1.52455339374179,4.31681231500288
2,10,34.7207692307692,1.49638974861311,4.24417854037232
2,10,35.11,1.48339094907614,4.21215025210779
2,10,34.7207692307692,1.50743610849885,4.25542366527119
