Session number,Laser power (mW),Fluorescence Intensity (A.U.),FWHMx (um),FWHMz (um)
1,4,2.5226,1.450536206218,3.73772689109937
1,4,2.497,1.45061455833998,3.93686903586768
1,4,2.561,1.45994469115593,3.79979931986239
1,4,2.5098,1.47492983182425,3.69156736273015
1,4,2.5354,1.45153410989911,3.81945770077254
1,4,2.5098,1.47249622322937,3.76635858097416
1,5,3.8137,1.46304381724623,3.82520626373932
1,5,3.7881,1.48854964248096,3.94356424626017
1,5,3.8265,1.48972087976598,3.90055639721558
1,5,3.7881,1.47764435005048,3.84160066054768
1,5,3.7753,1.48458184446178,3.98581657313276
1,5,3.7625,1.48917277227998,3.79164909956004
1,6,5.524375,1.48575621821361,3.73835016191194
1,6,5.492375,1.49239249909235,3.90378977963363
1,6,5.508375,1.4666152650672,3.79042600803346
1,6,5.556375,1.48804483868408,3.81610673741677
1,6,5.636375,1.45939838096517,3.70955633568774
1,6,5.652375,1.47640401953422,3.73679148183033
1,7,7.579,1.47164520332455,3.66784386553936
1,7,7.387,1.49827363326998,3.8635382975848
1,7,7.36566666666667,1.47776859143174,3.95962543826699
1,7,7.42966666666667,1.49721597058243,3.82492457701788
1,7,7.40833333333333,1.48354105863148,3.97178525266902
1,7,7.36566666666667,1.49815526583932,3.75920374606455
1,8,9.5676,1.47970591799594,3.8209494410207
1,8,9.5164,1.48114669421488,4.00708536230812
1,8,9.4652,1.47425195543093,3.7480594295225
1,8,9.5164,1.46926793298571,3.790419200015
1,8,9.414,1.47896318557474,3.93093566932585
1,8,9.4396,1.49168918203009,3.78642442477823
1,9,11.9025,1.49378654167397,3.89738478776553
1,9,12.0945,1.46684592222901,3.83345057366749
1,9,11.8705,1.51237767027005,3.87887767821842
1,9,11.9985,1.49316935024224,3.83900080348943
1,9,12.2225,1.46498505453189,3.785306339045
1,9,12.0625,1.48451335596224,3.80912283344811
1,10,14.8496666666667,1.48493452126707,3.81995836463811
1,10,14.7643333333333,1.4785401362106,3.78069424340525
1,10,14.9776666666667,1.48121060691007,3.74666469893743
1,10,15.0203333333333,1.47209044693344,3.76094731437323
1,10,14.8496666666667,1.46508636538731,3.94068800336895
1,10,14.8923333333333,1.479576038495,3.7911247724813
