Session number,Laser power (mW),Fluorescence Intensity (A.U.),FWHMx (um),FWHMz (um)
1,4,9.7766,1.4535187850182,4.1032145895327
1,4,10.007,1.42591941406931,4.03075567824254
1,4,9.751,1.44572794401277,4.05596880285362
1,5,16.26,1.43408373171301,4.00404640035124
1,5,15.876,1.45176630947297,4.06005038711632
1,5,16.004,1.42769577940841,3.92180439604343
1,6,22.2192,1.42644436255888,3.96734458659385
1,6,21.8124,1.41950370766563,4.06742045783301
1,6,22.068,1.41789763989276,4.02978539841297
1,7,30.3077777777778,1.44998246342087,4.14327153604415
1,7,30.2355555555556,1.42819034164709,4.0275798526775
1,7,30.5905555555556,1.43142250524149,4.11090887984021
1,8,39.2338461538462,1.42933892857291,4.096285453219
1,8,39.7238461538462,1.4235813480136,4.1097437642192
1,8,39.3323076923077,1.42707261155977,4.01145276537904
1,9,49.809,1.42642056021656,4.0743572210873
1,9,50.193,1.40419813366424,3.99370512208576
1,9,49.681,1.40414589292442,4.12923676986989
1,10,62.8426666666667,1.44013126217841,4.17214493098033
1,10,62.5,1.44350217811359,4.14424775789386
1,10,62.8453333333333,1.41368905491895,4.13908741008262
2,4,11.293,1.49198813554043,4.15691918919163
2,4,11.3192,1.49827261700575,4.16064152558031
2,4,11.1132,1.5032993058914,4.21484095167245
2,5,17.1743333333333,1.48498718910188,4.17577992447642
2,5,17.0036666666667,1.50037334737548,4.12162997132714
2,5,17.1306666666667,1.48497667753575,4.09583985685529
2,6,23.8044,1.5127047404685,4.1897439175439
2,6,24.0096,1.49930802382394,4.12202257948972
2,6,23.448,1.50458968768943,4.24590682923673
2,7,31.1577777777778,1.51455962647636,4.20312354000302
2,7,31.7966666666667,1.4952849688825,4.15128239101635
2,7,31.5838888888889,1.50798860081325,4.13629117990117
2,8,40.7230769230769,1.47485605005699,4.20019180480621
2,8,40.5346153846154,1.49045221206556,4.16273015649115
2,8,40.2384615384615,1.4872236076572,4.21218254050256
2,9,51.056,1.48498798275621,4.20991725470063
2,9,51.31,1.46673316325028,4.18524980772963
2,9,50.798,1.48399005443989,4.28111205404262
2,10,66.0426666666667,1.49232051308081,4.2530983233992
2,10,65.1893333333333,1.47219844529058,4.04995819397994
2,10,65.5306666666667,1.48112433802112,4.24610751371965
3,4,9.804,1.5171706347417,4.52374449244216
3,4,9.9064,1.5048949877408,4.37005907366529
3,4,9.7534,1.51981832970553,4.49852301175391
3,5,14.681,1.50256573971367,4.39367093421814
3,5,14.4246666666667,1.53011322866799,4.53346674506681
3,5,14.7663333333333,1.51156143435595,4.35725599762032
3,6,21.1004,1.50862766301088,4.46173954372624
3,6,20.9964,1.50663873729875,4.45769542228054
3,6,21.3052,1.48574458126104,4.4425843031136
3,7,28.8288888888889,1.51275294695148,4.45252432256455
3,7,29.2544444444444,1.49740886682888,4.37088978518865
3,7,28.615,1.50380839550794,4.496488187563
3,8,36.9453846153846,1.51257627105907,4.61927462183832
3,8,36.8461538461538,1.50416043760441,4.54120128326996
3,8,37.0415384615385,1.49440980221299,4.46018875459691
3,9,45.233,1.50955577611566,4.49699989009173
3,9,44.723,1.50516508976868,4.58882666556456
3,9,45.489,1.47002760118692,4.49256419793906
3,10,58.6333333333333,1.49320372341156,4.52540932291588
3,10,58.632,1.47415096078517,4.59493839743287
3,10,58.9693333333333,1.49557452869468,4.61833206061743
4,4,10.5986666666667,1.52647210743802,4.17573782569034
4,4,10.5133333333333,1.51772617846097,4.23102199574556
4,4,10.5986666666667,1.50615394195277,4.05891366782143
4,4,10.684,1.51437403150828,4.07001536990859
4,4,10.684,1.52055252197298,4.23259867503983
4,4,10.6413333333333,1.51641259407804,4.20278707219933
4,5,16.5292,1.53845047967417,4.2056528454147
4,5,16.6316,1.49254879549848,4.1080930179817
4,5,16.6316,1.51442699399655,4.16911159700361
4,5,16.3244,1.50261154135119,4.30140645006402
4,5,16.7852,1.50764425675416,4.13709459901263
4,5,16.6828,1.50220716430661,4.18584060970154
4,6,23.6482352941176,1.51825244560633,4.28337308580458
4,6,23.1964705882353,1.5133372152862,4.25001687523479
4,6,23.0458823529412,1.51373134379077,4.09145403749707
4,6,23.1964705882353,1.50945265868915,4.13995512536613
4,6,23.1964705882353,1.52993780783037,4.23063471219882
4,6,23.0458823529412,1.51552717883555,4.15676045910113
4,7,32.4241666666667,1.51330664318758,4.29569608334194
4,7,32.7441666666667,1.50244608151384,4.24431216166752
4,7,32.3175,1.51465966048224,4.19992288736527
4,7,32.2108333333333,1.51631548087885,4.09841746367991
4,7,32.1041666666667,1.53422849726201,4.3335880594562
4,7,32.6375,1.53459620912686,4.29344025833474
4,8,41.242,1.5346315391877,4.20469780120437
4,8,41.114,1.49641323031762,4.22726827443717
4,8,41.242,1.52001900614678,4.24508902568358
4,8,42.01,1.49808317865847,4.20662816295853
4,8,41.37,1.50536686151986,4.2521956898603
4,8,41.882,1.49457819417421,4.0231686069852
4,9,53.092,1.51593533876593,4.23003361559258
4,9,52.2386666666667,1.52242088445154,4.30191946960056
4,9,52.7506666666667,1.52179851398601,4.26720075082375
4,9,52.9213333333333,1.53556744510224,4.2967244170541
4,9,52.58,1.52775135222512,4.33948679687315
4,9,52.7506666666667,1.51393818210613,4.31659447488216
4,10,62.9983333333333,1.51961184783831,4.22222918747473
4,10,63.425,1.51709286323183,4.21637686915643
4,10,63.6383333333333,1.50896375294194,4.14219001829867
4,10,64.9183333333333,1.50333971398475,4.27585316862075
4,10,63.8516666666667,1.52549187640872,4.24377897788763
4,10,63.6383333333333,1.5328123043451,4.31638251245747
